id,flag,01,02,03
lAHhlOB8AJ,2,39.3822,NA,NA
QyoZPZDqX9,4,30.2132,49.8275,27.0755
A3fOTpzXhn,4,30.2132,49.8275,27.0755
x4dxiDE8cM,4,30.2132,49.8275,27.0755
OS4mDwBWiL,4,6.6664,35.2506,4.1819
SlrrMF50tr,4,33.877,33.2408,42.1308
oR0xf63wHw,4,30.2132,49.8275,27.0755
x7G0buhif5,4,33.877,33.2408,42.1308
9q8s3WO8cn,4,-29.6867,-26.7863,-29.2983
JffuKvi0rC,4,-29.6867,-26.7863,-29.2983
eXeLq7hMTc,4,11.4208,11.6978,-1.6536
wigOIN44P2,2,-30.6713,NA,NA
WVKKlg8Uux,4,-29.6867,-26.7863,-29.2983
WaN9fL2LFY,4,-36.8738,-39.185,-0.0818
vG5EkjHPXc,2,-30.6713,NA,NA
dLcvtDXGl4,4,21.5363,19.1871,0.2407
N6kTQWZcgP,2,22.0981,NA,NA
G5H86agEHC,2,22.0981,NA,NA
1gi2XEDwV6,4,11.4208,11.6978,-1.6536
7PHNUigVIQ,2,-30.6713,NA,NA
sCLIDcFbu5,2,39.3822,NA,NA
QNIqI9RUR0,4,6.901,6.0024,14.2067
DOPgw1Lhbf,2,-30.6713,NA,NA
8z6R3NS5XD,2,22.0981,NA,NA
7TjstU0Poj,4,6.6664,35.2506,4.1819
2ysZID1gy0,2,39.3822,NA,NA
9Izz1MdRKQ,4,-36.8738,-39.185,-0.0818
ziJC4B3FBF,2,39.3822,NA,NA
sgHGL1ADJo,4,30.2132,49.8275,27.0755
4ka5q9Wi7d,4,-36.8738,-39.185,-0.0818
zdAIm2MHpK,4,-36.8738,-39.185,-0.0818
IrtbRkea9d,4,30.2132,49.8275,27.0755
7E7TkdsIGv,2,39.3822,NA,NA
orK9VsZPM3,2,22.0981,NA,NA
iFGUFbfa5z,4,6.901,6.0024,14.2067
vPOJgW7MvK,4,21.5363,19.1871,0.2407
yOC7qmrDpd,4,21.5363,19.1871,0.2407
UEtHA7AZot,2,39.3822,NA,NA
abfpPqFnN6,2,22.0981,NA,NA
kE7lVSMXsj,4,-29.6867,-26.7863,-29.2983
ACjlb20gaq,4,6.6664,35.2506,4.1819
zr9qGlW1pB,4,11.4208,11.6978,-1.6536
Y5LT4ombb7,4,-29.6867,-26.7863,-29.2983
9kZV8OgSF5,4,11.4208,11.6978,-1.6536
et5MoHoggC,2,39.3822,NA,NA
ByLy3XDrgL,4,11.4208,11.6978,-1.6536
qNB7Xsp7EW,2,-30.6713,NA,NA
jVapHGp7vE,4,11.4208,11.6978,-1.6536
dCYBpuC9qk,4,-29.6867,-26.7863,-29.2983
S4fAF8XXcp,4,-36.8738,-39.185,-0.0818
PFux7X8sYn,2,39.3822,NA,NA
uR6uT65Kby,4,30.2132,49.8275,27.0755
GiJxlucHZ1,4,-29.6867,-26.7863,-29.2983
yfUkAupip8,4,6.6664,35.2506,4.1819
oL4hUGtrmm,2,22.0981,NA,NA
MoB8Z8PPVW,4,-36.8738,-39.185,-0.0818
DRqmyVzZq6,4,6.6664,35.2506,4.1819
mPp3N51x9z,2,-30.6713,NA,NA
juAlYl1o0A,2,39.3822,NA,NA
zDq3XGMUMP,4,30.2132,49.8275,27.0755
qxLCh4VII8,4,-36.8738,-39.185,-0.0818
rdZIuTGrUv,2,39.3822,NA,NA
gTsgdcCeFO,4,21.5363,19.1871,0.2407
nFvVZpsj92,4,21.5363,19.1871,0.2407
E8hQpTzdxM,4,33.877,33.2408,42.1308
v23BCnSPAD,2,-30.6713,NA,NA
MlfSZWSdqg,4,30.2132,49.8275,27.0755
VdkY3hn6y3,2,39.3822,NA,NA
jCAAIiFAqb,4,30.2132,49.8275,27.0755
yEZ7KQaA4A,4,6.901,6.0024,14.2067
0miniMyoig,4,6.6664,35.2506,4.1819
jeZNJt4TdF,4,33.877,33.2408,42.1308
KSTWXbWPYy,4,-36.8738,-39.185,-0.0818
0vfzjQYvo4,4,-36.8738,-39.185,-0.0818
GA4KUp5PVJ,4,-36.8738,-39.185,-0.0818
91EqkHpSkC,4,30.2132,49.8275,27.0755
ZsODJKy3MM,2,-30.6713,NA,NA
9uUug2sMCB,4,11.4208,11.6978,-1.6536
FhZBRuaP4S,2,39.3822,NA,NA
RX7GPgMSrs,2,22.0981,NA,NA
cDy0AbH437,2,-30.6713,NA,NA
Umg8elsb03,4,21.5363,19.1871,0.2407
YONlcNUU6W,4,21.5363,19.1871,0.2407
Z1nhs95Rfg,4,6.6664,35.2506,4.1819
dwc6rzJ2bM,2,-30.6713,NA,NA
TDhJAenNWT,4,6.6664,35.2506,4.1819
MV7IQ4uHAO,4,30.2132,49.8275,27.0755
mdggps1hyn,4,6.6664,35.2506,4.1819
dRb27ovktA,4,21.5363,19.1871,0.2407
fwFHRK9Hjd,2,-30.6713,NA,NA
0G9iZFqhtK,4,21.5363,19.1871,0.2407
gAzqLW3DG8,4,-29.6867,-26.7863,-29.2983
5zYpL1zh7z,4,6.6664,35.2506,4.1819
6ou1kfWyA8,4,-29.6867,-26.7863,-29.2983
bKY0gCQn3U,4,-36.8738,-39.185,-0.0818
IjU5pG1qIv,4,21.5363,19.1871,0.2407
v0mSbu2PqN,2,-30.6713,NA,NA
RJRTMv0KXC,4,11.4208,11.6978,-1.6536
cf5W2EzHVK,4,33.877,33.2408,42.1308
FWludocOUM,2,39.3822,NA,NA
jzJrkrWa5I,2,39.3822,NA,NA
MH9Hk5mTlO,4,11.4208,11.6978,-1.6536
bFqkuZX9KB,4,30.2132,49.8275,27.0755
b5xcEoAjqk,4,6.901,6.0024,14.2067
oGw8FPvwnR,4,11.4208,11.6978,-1.6536
fv9M5brd3v,4,6.901,6.0024,14.2067
uJcQ8XlJiG,4,6.901,6.0024,14.2067
4BcbzrwSjV,4,-36.8738,-39.185,-0.0818
itFiibQBe3,2,-30.6713,NA,NA
XEubSdmxik,4,33.877,33.2408,42.1308
Iv24VvbOIi,4,33.877,33.2408,42.1308
7gPBRjaBce,4,-36.8738,-39.185,-0.0818
MZC4J7jz4p,4,11.4208,11.6978,-1.6536
3EnD7xANH3,2,39.3822,NA,NA
PR2gSJHwCg,4,30.2132,49.8275,27.0755
s4FkVjbhYt,4,11.4208,11.6978,-1.6536
EP6qGTFehT,4,33.877,33.2408,42.1308
xmTk6kPjY0,2,-30.6713,NA,NA
eeZg7aVrCz,4,11.4208,11.6978,-1.6536
N2kGdEWqIq,2,22.0981,NA,NA
x2TdFozB0c,4,30.2132,49.8275,27.0755
EHe0HLDRfN,4,6.6664,35.2506,4.1819
ljOFoprFWs,4,21.5363,19.1871,0.2407
